Designator,Mid X,Mid Y,Rotation,Layer
D1,139.7,-80.645,0.0,top
D2,139.7,-84.455,0.0,top
D3,139.7,-88.265,0.0,top
D4,149.86,-80.645,0.0,top
D5,149.86,-84.455,0.0,top
D6,149.86,-88.265,0.0,top
D7,149.86,-92.075,0.0,top
D8,149.86,-95.885,0.0,top
D9,149.86,-99.695,0.0,top
J1,167.513,-134.747,0.0,top
LED1,104.775,-86.042499,0.0,top
LED2,123.825,-86.042499,0.0,top
LED3,166.6875,-86.042499,0.0,top
LED4,114.3,-105.092499,0.0,top
LED5,133.35,-105.092499,0.0,top
LED6,166.6875,-105.092499,0.0,top
LED7,123.825,-124.142499,0.0,top
LED8,142.875,-124.142499,0.0,top
LED9,166.6875,-124.142499,0.0,top
SW1,104.775,-78.84445,0.0,top
SW10,123.825,-64.135,0.0,top
SW2,123.825,-78.84445,0.0,top
SW3,166.6875,-78.84445,0.0,top
SW4,114.3,-97.89445,0.0,top
SW5,133.35,-97.89445,0.0,top
SW6,166.6875,-97.89445,0.0,top
SW7,123.825,-116.94445,0.0,top
SW8,142.875,-116.94445,0.0,top
SW9,166.6875,-116.94445,0.0,top
U1,144.78,-66.0,0.0,top
